,VP-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.2454308093994778,0.2413793103448276,0.0,0.2,0.0,0.22875816993464052
subject,0.1279373368146214,0.4827586206896552,0.0,0.3,0.0,0.1437908496732026
object,0.09399477806788512,0.2413793103448276,0.0,0.2,0.0,0.10021786492374728
adjectival modifier,0.0,0.0,0.0,0.0,0.0,0.0
preps,0.2506527415143603,0.3103448275862069,0.0,0.5,0.0,0.24183006535947713
['as'],0.005221932114882507,0.0,0.0,0.0,0.0,0.004357298474945534
['against'],0.007832898172323759,0.0,0.0,0.0,0.0,0.006535947712418301
['during'],0.0,0.034482758620689655,0.0,0.0,0.0,0.002178649237472767
['while'],0.005221932114882507,0.0,0.0,0.0,0.0,0.004357298474945534
['in'],0.015665796344647518,0.034482758620689655,0.0,0.0,0.0,0.017429193899782137
['from'],0.0,0.0,0.0,0.1,0.0,0.002178649237472767
['by'],0.013054830287206266,0.0,0.0,0.0,0.0,0.010893246187363835
['at'],0.005221932114882507,0.0,0.0,0.1,0.0,0.006535947712418301
['on'],0.005221932114882507,0.0,0.0,0.0,0.0,0.004357298474945534
['between'],0.0026109660574412533,0.0,0.0,0.0,0.0,0.002178649237472767
['through'],0.0026109660574412533,0.0,0.0,0.0,0.0,0.002178649237472767
['into'],0.0,0.034482758620689655,0.0,0.0,0.0,0.002178649237472767
['about'],0.0026109660574412533,0.0,0.0,0.0,0.0,0.002178649237472767
['of'],0.09138381201044386,0.13793103448275862,0.0,0.2,0.0,0.08932461873638345
['for'],0.033942558746736295,0.0,0.0,0.0,0.0,0.02832244008714597
['after'],0.0,0.034482758620689655,0.0,0.0,0.0,0.002178649237472767
['to'],0.015665796344647518,0.0,0.0,0.1,0.0,0.015250544662309368
['with'],0.033942558746736295,0.034482758620689655,0.0,0.0,0.0,0.030501089324618737
['like'],0.010443864229765013,0.0,0.0,0.0,0.0,0.008714596949891068
Total,0.8344226579520697,0.06318082788671024,0.0,0.02178649237472767,0.0,0.9564270152505447
